,model,seed,name,MCC
697,lr,19_skf_2,lr_seed_19_skf_2_paras_2_C_0.01_weight_balanced,0.265
698,lr,19_skf_3,lr_seed_19_skf_3_paras_2_C_0.01_weight_balanced,0.282
699,lr,19_skf_4,lr_seed_19_skf_4_paras_2_C_0.01_weight_balanced,0.249
500,svm,0_skf_0,svm_seed_0_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.193
501,svm,0_skf_1,svm_seed_0_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.198
502,svm,0_skf_2,svm_seed_0_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.20600000000000002
503,svm,0_skf_3,svm_seed_0_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.213
504,svm,0_skf_4,svm_seed_0_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.293
505,svm,1_skf_0,svm_seed_1_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.261
506,svm,1_skf_1,svm_seed_1_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.243
507,svm,1_skf_2,svm_seed_1_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.195
508,svm,1_skf_3,svm_seed_1_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.244
509,svm,1_skf_4,svm_seed_1_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.307
511,svm,2_skf_1,svm_seed_2_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.213
512,svm,2_skf_2,svm_seed_2_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.24600000000000002
513,svm,2_skf_3,svm_seed_2_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.275
514,svm,2_skf_4,svm_seed_2_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.27399999999999997
515,svm,3_skf_0,svm_seed_3_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.249
516,svm,3_skf_1,svm_seed_3_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.21
517,svm,3_skf_2,svm_seed_3_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.193
518,svm,3_skf_3,svm_seed_3_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.221
519,svm,3_skf_4,svm_seed_3_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.294
520,svm,4_skf_0,svm_seed_4_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.204
521,svm,4_skf_1,svm_seed_4_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.263
522,svm,4_skf_2,svm_seed_4_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.213
523,svm,4_skf_3,svm_seed_4_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.26
525,svm,5_skf_0,svm_seed_5_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.244
526,svm,5_skf_1,svm_seed_5_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.307
527,svm,5_skf_2,svm_seed_5_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.292
528,svm,5_skf_3,svm_seed_5_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.261
529,svm,5_skf_4,svm_seed_5_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.203
530,svm,6_skf_0,svm_seed_6_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.24100000000000002
531,svm,6_skf_1,svm_seed_6_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.258
532,svm,6_skf_2,svm_seed_6_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.226
533,svm,6_skf_3,svm_seed_6_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.265
534,svm,6_skf_4,svm_seed_6_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.195
535,svm,7_skf_0,svm_seed_7_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.249
536,svm,7_skf_1,svm_seed_7_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.263
537,svm,7_skf_2,svm_seed_7_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.23199999999999998
540,svm,8_skf_0,svm_seed_8_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.307
541,svm,8_skf_1,svm_seed_8_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.258
542,svm,8_skf_2,svm_seed_8_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.26
543,svm,8_skf_3,svm_seed_8_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.22699999999999998
544,svm,8_skf_4,svm_seed_8_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.239
545,svm,9_skf_0,svm_seed_9_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.295
546,svm,9_skf_1,svm_seed_9_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.239
547,svm,9_skf_2,svm_seed_9_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.195
548,svm,9_skf_3,svm_seed_9_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.23199999999999998
549,svm,9_skf_4,svm_seed_9_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.191
550,svm,10_skf_0,svm_seed_10_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.257
551,svm,10_skf_1,svm_seed_10_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.292
552,svm,10_skf_2,svm_seed_10_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.27899999999999997
553,svm,10_skf_3,svm_seed_10_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.24600000000000002
554,svm,10_skf_4,svm_seed_10_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.16699999999999998
555,svm,11_skf_0,svm_seed_11_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.258
556,svm,11_skf_1,svm_seed_11_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.17800000000000002
557,svm,11_skf_2,svm_seed_11_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.221
559,svm,11_skf_4,svm_seed_11_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.184
560,svm,12_skf_0,svm_seed_12_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.21
561,svm,12_skf_1,svm_seed_12_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.193
562,svm,12_skf_2,svm_seed_12_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.26
563,svm,12_skf_3,svm_seed_12_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.24
564,svm,12_skf_4,svm_seed_12_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.201
565,svm,13_skf_0,svm_seed_13_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.257
566,svm,13_skf_1,svm_seed_13_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.177
567,svm,13_skf_2,svm_seed_13_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.29100000000000004
568,svm,13_skf_3,svm_seed_13_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.263
569,svm,13_skf_4,svm_seed_13_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.163
570,svm,14_skf_0,svm_seed_14_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.23199999999999998
571,svm,14_skf_1,svm_seed_14_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.26
572,svm,14_skf_2,svm_seed_14_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.24600000000000002
573,svm,14_skf_3,svm_seed_14_skf_3_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.195
574,svm,14_skf_4,svm_seed_14_skf_4_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.205
575,svm,15_skf_0,svm_seed_15_skf_0_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.163
576,svm,15_skf_1,svm_seed_15_skf_1_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.27399999999999997
577,svm,15_skf_2,svm_seed_15_skf_2_paras_5_kernel_rbf_C_1_gamma_0.1_weight_balanced,0.16
