,model,seed,name,MCC
65,svm,13_skf_0,svm_seed_13_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.19
66,svm,13_skf_1,svm_seed_13_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.214
67,svm,13_skf_2,svm_seed_13_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.244
69,svm,13_skf_4,svm_seed_13_skf_4_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.247
71,svm,14_skf_1,svm_seed_14_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.258
73,svm,14_skf_3,svm_seed_14_skf_3_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.148
76,svm,15_skf_1,svm_seed_15_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.236
77,svm,15_skf_2,svm_seed_15_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.221
78,svm,15_skf_3,svm_seed_15_skf_3_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.177
79,svm,15_skf_4,svm_seed_15_skf_4_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.227
80,svm,16_skf_0,svm_seed_16_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.197
81,svm,16_skf_1,svm_seed_16_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.263
82,svm,16_skf_2,svm_seed_16_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.234
83,svm,16_skf_3,svm_seed_16_skf_3_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.227
84,svm,16_skf_4,svm_seed_16_skf_4_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.186
85,svm,17_skf_0,svm_seed_17_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.182
86,svm,17_skf_1,svm_seed_17_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.23
87,svm,17_skf_2,svm_seed_17_skf_2_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.205
88,svm,17_skf_3,svm_seed_17_skf_3_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.249
89,svm,17_skf_4,svm_seed_17_skf_4_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.207
90,svm,18_skf_0,svm_seed_18_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.161
91,svm,18_skf_1,svm_seed_18_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.272
94,svm,18_skf_4,svm_seed_18_skf_4_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.186
95,svm,19_skf_0,svm_seed_19_skf_0_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.222
96,svm,19_skf_1,svm_seed_19_skf_1_paras_0_kernel_rbf_C_1_gamma_scale_weight_balanced,0.201
