,model,seed,name,MCC
4360,svm,12_skf_0,svm_seed_12_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.207
4361,svm,12_skf_1,svm_seed_12_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.16
4362,svm,12_skf_2,svm_seed_12_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.20199999999999999
4363,svm,12_skf_3,svm_seed_12_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.14800000000000002
4364,svm,12_skf_4,svm_seed_12_skf_4_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.223
4365,svm,13_skf_0,svm_seed_13_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.161
4366,svm,13_skf_1,svm_seed_13_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.20800000000000002
4367,svm,13_skf_2,svm_seed_13_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.14300000000000002
4368,svm,13_skf_3,svm_seed_13_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.11199999999999999
4369,svm,13_skf_4,svm_seed_13_skf_4_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.27399999999999997
4370,svm,14_skf_0,svm_seed_14_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.221
4371,svm,14_skf_1,svm_seed_14_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.183
4372,svm,14_skf_2,svm_seed_14_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.10800000000000001
4373,svm,14_skf_3,svm_seed_14_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.139
4374,svm,14_skf_4,svm_seed_14_skf_4_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.13699999999999998
4376,svm,15_skf_1,svm_seed_15_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.20199999999999999
4377,svm,15_skf_2,svm_seed_15_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.239
4378,svm,15_skf_3,svm_seed_15_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.26
4380,svm,16_skf_0,svm_seed_16_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.228
4381,svm,16_skf_1,svm_seed_16_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.11900000000000001
4382,svm,16_skf_2,svm_seed_16_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.18899999999999997
4383,svm,16_skf_3,svm_seed_16_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.223
4384,svm,16_skf_4,svm_seed_16_skf_4_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.20199999999999999
4385,svm,17_skf_0,svm_seed_17_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.14800000000000002
4386,svm,17_skf_1,svm_seed_17_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.18899999999999997
4387,svm,17_skf_2,svm_seed_17_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.239
4388,svm,17_skf_3,svm_seed_17_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.221
4389,svm,17_skf_4,svm_seed_17_skf_4_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.165
4390,svm,18_skf_0,svm_seed_18_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.239
4391,svm,18_skf_1,svm_seed_18_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.165
4392,svm,18_skf_2,svm_seed_18_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.11599999999999999
4393,svm,18_skf_3,svm_seed_18_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.24
4394,svm,18_skf_4,svm_seed_18_skf_4_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.244
4395,svm,19_skf_0,svm_seed_19_skf_0_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.188
4396,svm,19_skf_1,svm_seed_19_skf_1_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.11900000000000001
4397,svm,19_skf_2,svm_seed_19_skf_2_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.26
4398,svm,19_skf_3,svm_seed_19_skf_3_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.20199999999999999
4399,svm,19_skf_4,svm_seed_19_skf_4_paras_29_kernel_poly_C_0.1_gamma_scale_weight_balanced,0.221
2800,rf,0_skf_0,rf_seed_0_skf_0_paras_33_estimator_500_depth_5_random_1_leaf_5_year_1997_weight_balanced,0.273
2801,rf,0_skf_1,rf_seed_0_skf_1_paras_33_estimator_500_depth_5_random_1_leaf_5_year_1997_weight_balanced,0.235
2803,rf,0_skf_3,rf_seed_0_skf_3_paras_33_estimator_500_depth_5_random_1_leaf_5_year_1997_weight_balanced,0.135
2804,rf,0_skf_4,rf_seed_0_skf_4_paras_33_estimator_500_depth_5_random_1_leaf_5_year_1997_weight_balanced,0.201
2805,rf,1_skf_0,rf_seed_1_skf_0_paras_33_estimator_500_depth_5_random_1_leaf_5_year_1997_weight_balanced,0.25
